a00	A00 - Kolera
w5749	W57.49 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-gata-ospec aktiviteter
w5750	W57.50 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-serviceområde-idrott
w5751	W57.51 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-serviceområde-lek,fritid
w5752	W57.52 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-serviceområde-förvärvsarbete
w5753	W57.53 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-serviceområde-annan sysselsättning
w5754	W57.54 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-serviceområde-vitalaktivitet
w5758	W57.58 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-serviceområde-andra aktiviteter
w5759	W57.59 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-serviceområde-ospec aktiviteter
w5760	W57.60 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-industriområde-idrott
w5761	W57.61 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-industriområde-lek,fritid
w5762	W57.62 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-industriområde-förvärvsarbete
w5763	W57.63 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-industriområde-annan sysselsättning
w5764	W57.64 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-industriområde-vitalaktivitet
w5768	W57.68 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-industriområde-andra aktiviteter
w5769	W57.69 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-industriområde-ospec aktiviteter
w5770	W57.70 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-lantbruksområde-idrott
w5771	W57.71 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-lantbruksområde-lek,fritid
w5772	W57.72 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-lantbruksområde-förvärvsarbete
w5773	W57.73 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-lantbruksområde-annan sysselsättning
w5774	W57.74 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-lantbruksområde-vitalaktivitet
w5778	W57.78 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-lantbruksområde-andra aktiviteter
w5779	W57.79 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-lantbruksområde-ospec aktiviteter
w5780	W57.80 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-andra områden-idrott
w5781	W57.81 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-andra områden-lek,fritid
w5782	W57.82 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-andra områden-förvärvsarbete
w5783	W57.83 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-andra områden-annan sysselsättning
w5784	W57.84 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-andra områden-vitalaktivitet
w5788	W57.88 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-andra områden-andra aktiviteter
w5789	W57.89 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-andra områden-ospec aktiviteter
w5790	W57.90 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-ospec område-idrott
w5791	W57.91 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-ospec område-lek,fritid
w5792	W57.92 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-ospec område-förvärvsarbete
w5793	W57.93 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-ospec område-annan sysselsättning
w5794	W57.94 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-ospec område-vitalaktivitet
w5798	W57.98 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-ospec område-andra aktiviteter
w5799	W57.99 - Bett och stick av icke giftig insekt och andra icke giftiga leddjur-ospec område-ospec aktiviteter
w58	W58 - Biten eller angripen av krokodil eller alligator
w5800	W58.00 - Biten eller angripen av krokodil eller alligator-bostad-idrott
w5801	W58.01 - Biten eller angripen av krokodil eller alligator-bostad-lek,fritid
w5802	W58.02 - Biten eller angripen av krokodil eller alligator-bostad-förvärvsarbete
w5803	W58.03 - Biten eller angripen av krokodil eller alligator-bostad-annan sysselsättning
w5804	W58.04 - Biten eller angripen av krokodil eller alligator-bostad-vitalaktivitet
w5808	W58.08 - Biten eller angripen av krokodil eller alligator-bostad-andra aktiviteter
w5809	W58.09 - Biten eller angripen av krokodil eller alligator-bostad-ospec aktiviteter
w5810	W58.10 - Biten eller angripen av krokodil eller alligator-institutionellt boende-idrott
w5811	W58.11 - Biten eller angripen av krokodil eller alligator-institutionellt boende-lek,fritid
w5812	W58.12 - Biten eller angripen av krokodil eller alligator-institutionellt boende-förvärvsarbete
w5813	W58.13 - Biten eller angripen av krokodil eller alligator-institutionellt boende-annan sysselsättning
w5814	W58.14 - Biten eller angripen av krokodil eller alligator-institutionellt boende-vitalaktivitet
w5818	W58.18 - Biten eller angripen av krokodil eller alligator-institutionellt boende-andra aktiviteter
w5819	W58.19 - Biten eller angripen av krokodil eller alligator-institutionellt boende-ospec aktiviteter
w5820	W58.20 - Biten eller angripen av krokodil eller alligator-skola, offentlig lokal-idrott
w5821	W58.21 - Biten eller angripen av krokodil eller alligator-skola, offentlig lokal-lek,fritid
w5822	W58.22 - Biten eller angripen av krokodil eller alligator-skola, offentlig lokal-förvärvsarbete
w5823	W58.23 - Biten eller angripen av krokodil eller alligator-skola, offentlig lokal-annan sysselsättning
w5824	W58.24 - Biten eller angripen av krokodil eller alligator-skola, offentlig lokal-vitalaktivitet
w5828	W58.28 - Biten eller angripen av krokodil eller alligator-skola, offentlig lokal-andra aktiviteter
w5829	W58.29 - Biten eller angripen av krokodil eller alligator-skola, offentlig lokal-ospec aktiviteter
w5830	W58.30 - Biten eller angripen av krokodil eller alligator-idrottsanläggning-idrott
w5831	W58.31 - Biten eller angripen av krokodil eller alligator-idrottsanläggning-lek,fritid
w5832	W58.32 - Biten eller angripen av krokodil eller alligator-idrottsanläggning-förvärvsarbete
w5833	W58.33 - Biten eller angripen av krokodil eller alligator-idrottsanläggning-annan sysselsättning
w5834	W58.34 - Biten eller angripen av krokodil eller alligator-idrottsanläggning-vitalaktivitet
w5838	W58.38 - Biten eller angripen av krokodil eller alligator-idrottsanläggning-andra aktiviteter
w5839	W58.39 - Biten eller angripen av krokodil eller alligator-idrottsanläggning-ospec aktiviteter
w5840	W58.40 - Biten eller angripen av krokodil eller alligator-gata-idrott
w5841	W58.41 - Biten eller angripen av krokodil eller alligator-gata-lek,fritid
w5842	W58.42 - Biten eller angripen av krokodil eller alligator-gata-förvärvsarbete
w5843	W58.43 - Biten eller angripen av krokodil eller alligator-gata-annan sysselsättning
w5844	W58.44 - Biten eller angripen av krokodil eller alligator-gata-vitalaktivitet
w5848	W58.48 - Biten eller angripen av krokodil eller alligator-gata-andra aktiviteter
w5849	W58.49 - Biten eller angripen av krokodil eller alligator-gata-ospec aktiviteter
w5850	W58.50 - Biten eller angripen av krokodil eller alligator-serviceområde-idrott
w5851	W58.51 - Biten eller angripen av krokodil eller alligator-serviceområde-lek,fritid
w5852	W58.52 - Biten eller angripen av krokodil eller alligator-serviceområde-förvärvsarbete
w5853	W58.53 - Biten eller angripen av krokodil eller alligator-serviceområde-annan sysselsättning
w5854	W58.54 - Biten eller angripen av krokodil eller alligator-serviceområde-vitalaktivitet
w5858	W58.58 - Biten eller angripen av krokodil eller alligator-serviceområde-andra aktiviteter
w5859	W58.59 - Biten eller angripen av krokodil eller alligator-serviceområde-ospec aktiviteter
w5860	W58.60 - Biten eller angripen av krokodil eller alligator-industriområde-idrott
w5861	W58.61 - Biten eller angripen av krokodil eller alligator-industriområde-lek,fritid
w5862	W58.62 - Biten eller angripen av krokodil eller alligator-industriområde-förvärvsarbete
w5863	W58.63 - Biten eller angripen av krokodil eller alligator-industriområde-annan sysselsättning
w5864	W58.64 - Biten eller angripen av krokodil eller alligator-industriområde-vitalaktivitet
w5868	W58.68 - Biten eller angripen av krokodil eller alligator-industriområde-andra aktiviteter
w5869	W58.69 - Biten eller angripen av krokodil eller alligator-industriområde-ospec aktiviteter
w5870	W58.70 - Biten eller angripen av krokodil eller alligator-lantbruksområde-idrott
w5871	W58.71 - Biten eller angripen av krokodil eller alligator-lantbruksområde-lek,fritid
w5872	W58.72 - Biten eller angripen av krokodil eller alligator-lantbruksområde-förvärvsarbete
w5873	W58.73 - Biten eller angripen av krokodil eller alligator-lantbruksområde-annan sysselsättning
w5874	W58.74 - Biten eller angripen av krokodil eller alligator-lantbruksområde-vitalaktivitet
w5878	W58.78 - Biten eller angripen av krokodil eller alligator-lantbruksområde-andra aktiviteter
w5879	W58.79 - Biten eller angripen av krokodil eller alligator-lantbruksområde-ospec aktiviteter
w5880	W58.80 - Biten eller angripen av krokodil eller alligator-andra områden-idrott
w5881	W58.81 - Biten eller angripen av krokodil eller alligator-andra områden-lek,fritid
w5882	W58.82 - Biten eller angripen av krokodil eller alligator-andra områden-förvärvsarbete
w5883	W58.83 - Biten eller angripen av krokodil eller alligator-andra områden-annan sysselsättning
w5884	W58.84 - Biten eller angripen av krokodil eller alligator-andra områden-vitalaktivitet
w5888	W58.88 - Biten eller angripen av krokodil eller alligator-andra områden-andra aktiviteter
w5889	W58.89 - Biten eller angripen av krokodil eller alligator-andra områden-ospec aktiviteter
w5890	W58.90 - Biten eller angripen av krokodil eller alligator-ospec område-idrott
w5891	W58.91 - Biten eller angripen av krokodil eller alligator-ospec område-lek,fritid
w5892	W58.92 - Biten eller angripen av krokodil eller alligator-ospec område-förvärvsarbete
w5893	W58.93 - Biten eller angripen av krokodil eller alligator-ospec område-annan sysselsättning
w5894	W58.94 - Biten eller angripen av krokodil eller alligator-ospec område-vitalaktivitet
w5898	W58.98 - Biten eller angripen av krokodil eller alligator-ospec område-andra aktiviteter
w5899	W58.99 - Biten eller angripen av krokodil eller alligator-ospec område-ospec aktiviteter
w59	W59 - Biten eller angripen av andra kräldjur
w5900	W59.00 - Biten eller angripen av andra kräldjur-bostad-idrott
w5901	W59.01 - Biten eller angripen av andra kräldjur-bostad-lek,fritid
w5902	W59.02 - Biten eller angripen av andra kräldjur-bostad-förvärvsarbete
w5903	W59.03 - Biten eller angripen av andra kräldjur-bostad-annan sysselsättning
w5904	W59.04 - Biten eller angripen av andra kräldjur-bostad-vitalaktivitet
w5908	W59.08 - Biten eller angripen av andra kräldjur-bostad-andra aktiviteter
w5909	W59.09 - Biten eller angripen av andra kräldjur-bostad-ospec aktiviteter
w5910	W59.10 - Biten eller angripen av andra kräldjur-institutionellt boende-idrott
w5911	W59.11 - Biten eller angripen av andra kräldjur-institutionellt boende-lek,fritid
w5912	W59.12 - Biten eller angripen av andra kräldjur-institutionellt boende-förvärvsarbete
w5913	W59.13 - Biten eller angripen av andra kräldjur-institutionellt boende-annan sysselsättning
w5914	W59.14 - Biten eller angripen av andra kräldjur-institutionellt boende-vitalaktivitet
w5918	W59.18 - Biten eller angripen av andra kräldjur-institutionellt boende-andra aktiviteter
w5919	W59.19 - Biten eller angripen av andra kräldjur-institutionellt boende-ospec aktiviteter
w5920	W59.20 - Biten eller angripen av andra kräldjur-skola, offentlig lokal-idrott
w5921	W59.21 - Biten eller angripen av andra kräldjur-skola, offentlig lokal-lek,fritid
w5922	W59.22 - Biten eller angripen av andra kräldjur-skola, offentlig lokal-förvärvsarbete
w5923	W59.23 - Biten eller angripen av andra kräldjur-skola, offentlig lokal-annan sysselsättning
w5924	W59.24 - Biten eller angripen av andra kräldjur-skola, offentlig lokal-vitalaktivitet
w5928	W59.28 - Biten eller angripen av andra kräldjur-skola, offentlig lokal-andra aktiviteter
w5929	W59.29 - Biten eller angripen av andra kräldjur-skola, offentlig lokal-ospec aktiviteter
w5930	W59.30 - Biten eller angripen av andra kräldjur-idrottsanläggning-idrott
w5931	W59.31 - Biten eller angripen av andra kräldjur-idrottsanläggning-lek,fritid
w5932	W59.32 - Biten eller angripen av andra kräldjur-idrottsanläggning-förvärvsarbete
w5933	W59.33 - Biten eller angripen av andra kräldjur-idrottsanläggning-annan sysselsättning
w5934	W59.34 - Biten eller angripen av andra kräldjur-idrottsanläggning-vitalaktivitet
w5938	W59.38 - Biten eller angripen av andra kräldjur-idrottsanläggning-andra aktiviteter
w5939	W59.39 - Biten eller angripen av andra kräldjur-idrottsanläggning-ospec aktiviteter
w5940	W59.40 - Biten eller angripen av andra kräldjur-gata-idrott
w5941	W59.41 - Biten eller angripen av andra kräldjur-gata-lek,fritid
w5942	W59.42 - Biten eller angripen av andra kräldjur-gata-förvärvsarbete
w5943	W59.43 - Biten eller angripen av andra kräldjur-gata-annan sysselsättning
w5944	W59.44 - Biten eller angripen av andra kräldjur-gata-vitalaktivitet
w5948	W59.48 - Biten eller angripen av andra kräldjur-gata-andra aktiviteter
w5949	W59.49 - Biten eller angripen av andra kräldjur-gata-ospec aktiviteter
w5950	W59.50 - Biten eller angripen av andra kräldjur-serviceområde-idrott
w5951	W59.51 - Biten eller angripen av andra kräldjur-serviceområde-lek,fritid
w5952	W59.52 - Biten eller angripen av andra kräldjur-serviceområde-förvärvsarbete
w5953	W59.53 - Biten eller angripen av andra kräldjur-serviceområde-annan sysselsättning
w5954	W59.54 - Biten eller angripen av andra kräldjur-serviceområde-vitalaktivitet
w5958	W59.58 - Biten eller angripen av andra kräldjur-serviceområde-andra aktiviteter
w5959	W59.59 - Biten eller angripen av andra kräldjur-serviceområde-ospec aktiviteter
w5960	W59.60 - Biten eller angripen av andra kräldjur-industriområde-idrott
w5961	W59.61 - Biten eller angripen av andra kräldjur-industriområde-lek,fritid
w5962	W59.62 - Biten eller angripen av andra kräldjur-industriområde-förvärvsarbete
w5963	W59.63 - Biten eller angripen av andra kräldjur-industriområde-annan sysselsättning
w5964	W59.64 - Biten eller angripen av andra kräldjur-industriområde-vitalaktivitet
w5968	W59.68 - Biten eller angripen av andra kräldjur-industriområde-andra aktiviteter
w5969	W59.69 - Biten eller angripen av andra kräldjur-industriområde-ospec aktiviteter
w5970	W59.70 - Biten eller angripen av andra kräldjur-lantbruksområde-idrott
w5971	W59.71 - Biten eller angripen av andra kräldjur-lantbruksområde-lek,fritid
w5972	W59.72 - Biten eller angripen av andra kräldjur-lantbruksområde-förvärvsarbete
w5973	W59.73 - Biten eller angripen av andra kräldjur-lantbruksområde-annan sysselsättning
w5974	W59.74 - Biten eller angripen av andra kräldjur-lantbruksområde-vitalaktivitet
w5978	W59.78 - Biten eller angripen av andra kräldjur-lantbruksområde-andra aktiviteter
w5979	W59.79 - Biten eller angripen av andra kräldjur-lantbruksområde-ospec aktiviteter
w5980	W59.80 - Biten eller angripen av andra kräldjur-andra områden-idrott
w5981	W59.81 - Biten eller angripen av andra kräldjur-andra områden-lek,fritid
w5982	W59.82 - Biten eller angripen av andra kräldjur-andra områden-förvärvsarbete
w5983	W59.83 - Biten eller angripen av andra kräldjur-andra områden-annan sysselsättning
w5984	W59.84 - Biten eller angripen av andra kräldjur-andra områden-vitalaktivitet
w5988	W59.88 - Biten eller angripen av andra kräldjur-andra områden-andra aktiviteter
w5989	W59.89 - Biten eller angripen av andra kräldjur-andra områden-ospec aktiviteter
w5990	W59.90 - Biten eller angripen av andra kräldjur-ospec område-idrott
w5991	W59.91 - Biten eller angripen av andra kräldjur-ospec område-lek,fritid
w5992	W59.92 - Biten eller angripen av andra kräldjur-ospec område-förvärvsarbete
w5993	W59.93 - Biten eller angripen av andra kräldjur-ospec område-annan sysselsättning
w5994	W59.94 - Biten eller angripen av andra kräldjur-ospec område-vitalaktivitet
w5998	W59.98 - Biten eller angripen av andra kräldjur-ospec område-andra aktiviteter
w5999	W59.99 - Biten eller angripen av andra kräldjur-ospec område-ospec aktiviteter
w60	W60 - Kontakt med törnen och taggar på växter samt vassa blad
w6000	W60.00 - Kontakt med törnen och taggar på växter samt vassa blad-bostad-idrott
w6001	W60.01 - Kontakt med törnen och taggar på växter samt vassa blad-bostad-lek,fritid
w6002	W60.02 - Kontakt med törnen och taggar på växter samt vassa blad-bostad-förvärvsarbete
w6003	W60.03 - Kontakt med törnen och taggar på växter samt vassa blad-bostad-annan sysselsättning
w6004	W60.04 - Kontakt med törnen och taggar på växter samt vassa blad-bostad-vitalaktivitet
w6008	W60.08 - Kontakt med törnen och taggar på växter samt vassa blad-bostad-andra aktiviteter
w6009	W60.09 - Kontakt med törnen och taggar på växter samt vassa blad-bostad-ospec aktiviteter
w6010	W60.10 - Kontakt med törnen och taggar på växter samt vassa blad-institutionellt boende-idrott
w6011	W60.11 - Kontakt med törnen och taggar på växter samt vassa blad-institutionellt boende-lek,fritid
w6012	W60.12 - Kontakt med törnen och taggar på växter samt vassa blad-institutionellt boende-förvärvsarbete
w6013	W60.13 - Kontakt med törnen och taggar på växter samt vassa blad-institutionellt boende-annan sysselsättning
w6014	W60.14 - Kontakt med törnen och taggar på växter samt vassa blad-institutionellt boende-vitalaktivitet
w6018	W60.18 - Kontakt med törnen och taggar på växter samt vassa blad-institutionellt boende-andra aktiviteter
w6019	W60.19 - Kontakt med törnen och taggar på växter samt vassa blad-institutionellt boende-ospec aktiviteter
w6020	W60.20 - Kontakt med törnen och taggar på växter samt vassa blad-skola, offentlig lokal-idrott
w6021	W60.21 - Kontakt med törnen och taggar på växter samt vassa blad-skola, offentlig lokal-lek,fritid
w6022	W60.22 - Kontakt med törnen och taggar på växter samt vassa blad-skola, offentlig lokal-förvärvsarbete
w6023	W60.23 - Kontakt med törnen och taggar på växter samt vassa blad-skola, offentlig lokal-annan sysselsättning
w6024	W60.24 - Kontakt med törnen och taggar på växter samt vassa blad-skola, offentlig lokal-vitalaktivitet
w6028	W60.28 - Kontakt med törnen och taggar på växter samt vassa blad-skola, offentlig lokal-andra aktiviteter
w6029	W60.29 - Kontakt med törnen och taggar på växter samt vassa blad-skola, offentlig lokal-ospec aktiviteter
w6030	W60.30 - Kontakt med törnen och taggar på växter samt vassa blad-idrottsanläggning-idrott
w6031	W60.31 - Kontakt med törnen och taggar på växter samt vassa blad-idrottsanläggning-lek,fritid
w6032	W60.32 - Kontakt med törnen och taggar på växter samt vassa blad-idrottsanläggning-förvärvsarbete
w6033	W60.33 - Kontakt med törnen och taggar på växter samt vassa blad-idrottsanläggning-annan sysselsättning
w6034	W60.34 - Kontakt med törnen och taggar på växter samt vassa blad-idrottsanläggning-vitalaktivitet
w6038	W60.38 - Kontakt med törnen och taggar på växter samt vassa blad-idrottsanläggning-andra aktiviteter
w6039	W60.39 - Kontakt med törnen och taggar på växter samt vassa blad-idrottsanläggning-ospec aktiviteter
w6040	W60.40 - Kontakt med törnen och taggar på växter samt vassa blad-gata-idrott
w6041	W60.41 - Kontakt med törnen och taggar på växter samt vassa blad-gata-lek,fritid
w6042	W60.42 - Kontakt med törnen och taggar på växter samt vassa blad-gata-förvärvsarbete
w6043	W60.43 - Kontakt med törnen och taggar på växter samt vassa blad-gata-annan sysselsättning
w6044	W60.44 - Kontakt med törnen och taggar på växter samt vassa blad-gata-vitalaktivitet
w6048	W60.48 - Kontakt med törnen och taggar på växter samt vassa blad-gata-andra aktiviteter
w6049	W60.49 - Kontakt med törnen och taggar på växter samt vassa blad-gata-ospec aktiviteter
w6050	W60.50 - Kontakt med törnen och taggar på växter samt vassa blad-serviceområde-idrott
w6051	W60.51 - Kontakt med törnen och taggar på växter samt vassa blad-serviceområde-lek,fritid
w6052	W60.52 - Kontakt med törnen och taggar på växter samt vassa blad-serviceområde-förvärvsarbete
w6053	W60.53 - Kontakt med törnen och taggar på växter samt vassa blad-serviceområde-annan sysselsättning
w6054	W60.54 - Kontakt med törnen och taggar på växter samt vassa blad-serviceområde-vitalaktivitet
w6058	W60.58 - Kontakt med törnen och taggar på växter samt vassa blad-serviceområde-andra aktiviteter
w6059	W60.59 - Kontakt med törnen och taggar på växter samt vassa blad-serviceområde-ospec aktiviteter
w6060	W60.60 - Kontakt med törnen och taggar på växter samt vassa blad-industriområde-idrott
w6061	W60.61 - Kontakt med törnen och taggar på växter samt vassa blad-industriområde-lek,fritid
w6062	W60.62 - Kontakt med törnen och taggar på växter samt vassa blad-industriområde-förvärvsarbete
w6063	W60.63 - Kontakt med törnen och taggar på växter samt vassa blad-industriområde-annan sysselsättning
w6064	W60.64 - Kontakt med törnen och taggar på växter samt vassa blad-industriområde-vitalaktivitet
w6068	W60.68 - Kontakt med törnen och taggar på växter samt vassa blad-industriområde-andra aktiviteter
w6069	W60.69 - Kontakt med törnen och taggar på växter samt vassa blad-industriområde-ospec aktiviteter
w6070	W60.70 - Kontakt med törnen och taggar på växter samt vassa blad-lantbruksområde-idrott
w6071	W60.71 - Kontakt med törnen och taggar på växter samt vassa blad-lantbruksområde-lek,fritid
w6072	W60.72 - Kontakt med törnen och taggar på växter samt vassa blad-lantbruksområde-förvärvsarbete
w6073	W60.73 - Kontakt med törnen och taggar på växter samt vassa blad-lantbruksområde-annan sysselsättning
w6074	W60.74 - Kontakt med törnen och taggar på växter samt vassa blad-lantbruksområde-vitalaktivitet
w6078	W60.78 - Kontakt med törnen och taggar på växter samt vassa blad-lantbruksområde-andra aktiviteter
w6079	W60.79 - Kontakt med törnen och taggar på växter samt vassa blad-lantbruksområde-ospec aktiviteter
w6080	W60.80 - Kontakt med törnen och taggar på växter samt vassa blad-andra områden-idrott
w6081	W60.81 - Kontakt med törnen och taggar på växter samt vassa blad-andra områden-lek,fritid
w6082	W60.82 - Kontakt med törnen och taggar på växter samt vassa blad-andra områden-förvärvsarbete
w6083	W60.83 - Kontakt med törnen och taggar på växter samt vassa blad-andra områden-annan sysselsättning
w6084	W60.84 - Kontakt med törnen och taggar på växter samt vassa blad-andra områden-vitalaktivitet
w6088	W60.88 - Kontakt med törnen och taggar på växter samt vassa blad-andra områden-andra aktiviteter
w6089	W60.89 - Kontakt med törnen och taggar på växter samt vassa blad-andra områden-ospec aktiviteter
w6090	W60.90 - Kontakt med törnen och taggar på växter samt vassa blad-ospec område-idrott
w6091	W60.91 - Kontakt med törnen och taggar på växter samt vassa blad-ospec område-lek,fritid
w6092	W60.92 - Kontakt med törnen och taggar på växter samt vassa blad-ospec område-förvärvsarbete
w6093	W60.93 - Kontakt med törnen och taggar på växter samt vassa blad-ospec område-annan sysselsättning
w6094	W60.94 - Kontakt med törnen och taggar på växter samt vassa blad-ospec område-vitalaktivitet
w6098	W60.98 - Kontakt med törnen och taggar på växter samt vassa blad-ospec område-andra aktiviteter
w6099	W60.99 - Kontakt med törnen och taggar på växter samt vassa blad-ospec område-ospec aktiviteter
w64	W64 - Exponering för andra och icke specificerade levande mekaniska krafter
w6400	W64.00 - Exponering för andra och icke specificerade levande mekaniska krafter-bostad-idrott
w6401	W64.01 - Exponering för andra och icke specificerade levande mekaniska krafter-bostad-lek,fritid
w6402	W64.02 - Exponering för andra och icke specificerade levande mekaniska krafter-bostad-förvärvsarbete
w6403	W64.03 - Exponering för andra och icke specificerade levande mekaniska krafter-bostad-annan sysselsättning
w6404	W64.04 - Exponering för andra och icke specificerade levande mekaniska krafter-bostad-vitalaktivitet
w6408	W64.08 - Exponering för andra och icke specificerade levande mekaniska krafter-bostad-andra aktiviteter
w6409	W64.09 - Exponering för andra och icke specificerade levande mekaniska krafter-bostad-ospec aktiviteter
w6410	W64.10 - Exponering för andra och icke specificerade levande mekaniska krafter-institutionellt boende-idrott
w6411	W64.11 - Exponering för andra och icke specificerade levande mekaniska krafter-institutionellt boende-lek,fritid
w6412	W64.12 - Exponering för andra och icke specificerade levande mekaniska krafter-institutionellt boende-förvärvsarbete
w6413	W64.13 - Exponering för andra och icke specificerade levande mekaniska krafter-institutionellt boende-annan sysselsättning
w6414	W64.14 - Exponering för andra och icke specificerade levande mekaniska krafter-institutionellt boende-vitalaktivitet
w6418	W64.18 - Exponering för andra och icke specificerade levande mekaniska krafter-institutionellt boende-andra aktiviteter
w6419	W64.19 - Exponering för andra och icke specificerade levande mekaniska krafter-institutionellt boende-ospec aktiviteter
w6420	W64.20 - Exponering för andra och icke specificerade levande mekaniska krafter-skola, offentlig lokal-idrott
w6421	W64.21 - Exponering för andra och icke specificerade levande mekaniska krafter-skola, offentlig lokal-lek,fritid
w6422	W64.22 - Exponering för andra och icke specificerade levande mekaniska krafter-skola, offentlig lokal-förvärvsarbete
w6423	W64.23 - Exponering för andra och icke specificerade levande mekaniska krafter-skola, offentlig lokal-annan sysselsättning
w6424	W64.24 - Exponering för andra och icke specificerade levande mekaniska krafter-skola, offentlig lokal-vitalaktivitet
w6428	W64.28 - Exponering för andra och icke specificerade levande mekaniska krafter-skola, offentlig lokal-andra aktiviteter
w6429	W64.29 - Exponering för andra och icke specificerade levande mekaniska krafter-skola, offentlig lokal-ospec aktiviteter
w6430	W64.30 - Exponering för andra och icke specificerade levande mekaniska krafter-idrottsanläggning-idrott
w6431	W64.31 - Exponering för andra och icke specificerade levande mekaniska krafter-idrottsanläggning-lek,fritid
w6432	W64.32 - Exponering för andra och icke specificerade levande mekaniska krafter-idrottsanläggning-förvärvsarbete
w6433	W64.33 - Exponering för andra och icke specificerade levande mekaniska krafter-idrottsanläggning-annan sysselsättning
w6434	W64.34 - Exponering för andra och icke specificerade levande mekaniska krafter-idrottsanläggning-vitalaktivitet
w6438	W64.38 - Exponering för andra och icke specificerade levande mekaniska krafter-idrottsanläggning-andra aktiviteter
w6439	W64.39 - Exponering för andra och icke specificerade levande mekaniska krafter-idrottsanläggning-ospec aktiviteter
w6440	W64.40 - Exponering för andra och icke specificerade levande mekaniska krafter-gata-idrott
w6441	W64.41 - Exponering för andra och icke specificerade levande mekaniska krafter-gata-lek,fritid
w6442	W64.42 - Exponering för andra och icke specificerade levande mekaniska krafter-gata-förvärvsarbete
w6443	W64.43 - Exponering för andra och icke specificerade levande mekaniska krafter-gata-annan sysselsättning
w6444	W64.44 - Exponering för andra och icke specificerade levande mekaniska krafter-gata-vitalaktivitet
w6448	W64.48 - Exponering för andra och icke specificerade levande mekaniska krafter-gata-andra aktiviteter
w6449	W64.49 - Exponering för andra och icke specificerade levande mekaniska krafter-gata-ospec aktiviteter
w6450	W64.50 - Exponering för andra och icke specificerade levande mekaniska krafter-serviceområde-idrott
w6451	W64.51 - Exponering för andra och icke specificerade levande mekaniska krafter-serviceområde-lek,fritid
w6452	W64.52 - Exponering för andra och icke specificerade levande mekaniska krafter-serviceområde-förvärvsarbete
w6453	W64.53 - Exponering för andra och icke specificerade levande mekaniska krafter-serviceområde-annan sysselsättning
w6454	W64.54 - Exponering för andra och icke specificerade levande mekaniska krafter-serviceområde-vitalaktivitet
w6458	W64.58 - Exponering för andra och icke specificerade levande mekaniska krafter-serviceområde-andra aktiviteter
w6459	W64.59 - Exponering för andra och icke specificerade levande mekaniska krafter-serviceområde-ospec aktiviteter
w6460	W64.60 - Exponering för andra och icke specificerade levande mekaniska krafter-industriområde-idrott
w6461	W64.61 - Exponering för andra och icke specificerade levande mekaniska krafter-industriområde-lek,fritid
w6462	W64.62 - Exponering för andra och icke specificerade levande mekaniska krafter-industriområde-förvärvsarbete
w6463	W64.63 - Exponering för andra och icke specificerade levande mekaniska krafter-industriområde-annan sysselsättning
w6464	W64.64 - Exponering för andra och icke specificerade levande mekaniska krafter-industriområde-vitalaktivitet
w6468	W64.68 - Exponering för andra och icke specificerade levande mekaniska krafter-industriområde-andra aktiviteter
w6469	W64.69 - Exponering för andra och icke specificerade levande mekaniska krafter-industriområde-ospec aktiviteter
w6470	W64.70 - Exponering för andra och icke specificerade levande mekaniska krafter-lantbruksområde-idrott
w6471	W64.71 - Exponering för andra och icke specificerade levande mekaniska krafter-lantbruksområde-lek,fritid
w6472	W64.72 - Exponering för andra och icke specificerade levande mekaniska krafter-lantbruksområde-förvärvsarbete
